,correlatoin,AAPL,MSFT,AMZN,GOOG,TSLA
3041,0.984410463653672,20,25,30,10,15
296,0.9844029320738722,0,25,20,40,15
1828,0.9844013594985098,10,35,30,5,20
1344,0.9843949869975045,10,0,45,30,15
3540,0.9843940528009664,25,15,35,15,10
3369,0.9843939136343274,25,5,25,25,20
464,0.9843937504028425,0,35,25,40,0
1285,0.9843763604266828,5,45,35,5,10
1156,0.9843744678687427,5,35,40,20,0
1541,0.9843693272691166,10,15,40,15,20
466,0.9843585575300217,0,35,30,5,30
2024,0.9843560707326391,15,0,45,35,5
1155,0.9843426583590656,5,35,40,15,5
2122,0.9843370036851321,15,10,20,35,20
196,0.9843294532199189,0,15,45,30,10
3678,0.9843270016403738,25,25,35,15,0
1586,0.9843222554178371,10,20,20,40,10
694,0.9843187378324993,5,5,25,25,40
1770,0.9843183348469946,10,30,40,15,5
614,0.9843152301002113,0,45,25,30,0
1408,0.9843100718248403,10,5,45,30,10
1665,0.9843093026126214,10,25,20,35,10
4435,0.9843062933109705,35,0,25,35,5
183,0.9842997182189225,0,15,40,15,30
452,0.9842970432128519,0,35,20,30,15
6,0.9842966521765839,0,0,25,30,45
2201,0.9842831770565617,15,15,20,40,10
4526,0.984276463185894,35,5,35,25,0
3526,0.9842692284866172,25,15,25,20,15
4046,0.9842584106796561,30,10,25,25,10
1959,0.98423631507353,10,45,35,10,0
2302,0.9842339590589052,15,20,35,10,20
2565,0.984231497536919,15,40,25,10,10
968,0.9842228932039326,5,25,20,25,25
44,0.9842204982724646,0,5,20,40,35
2280,0.98421843348903,15,20,20,35,10
3728,0.9842176956040397,25,30,25,20,0
1127,0.9842060709073535,5,35,20,25,15
1506,0.9842033395698447,10,15,20,30,25
2025,0.9841926392266261,15,0,45,40,0
2505,0.9841924883294271,15,35,25,10,15
4513,0.98418983714392,35,5,25,35,0
2279,0.9841875733000393,15,20,20,30,15
3984,0.98418720339943,30,5,35,20,10
2754,0.9841844984489019,20,5,40,20,15
5,0.9841749340680466,0,0,20,45,35
223,0.9841746319110148,0,20,20,45,15
4188,0.9841702133906595,30,20,25,25,0
2124,0.9841593084029252,15,10,20,45,10
1591,0.9841591846176398,10,20,25,15,30
1509,0.9841483882836198,10,15,20,45,10
385,0.9841461024666259,0,30,25,45,0
2310,0.9841421704675558,15,20,40,15,10
1410,0.9841366587206235,10,5,45,40,0
3216,0.9841345322773805,20,40,30,10,0
4450,0.9841303023988718,35,0,35,25,5
2286,0.9841204606289083,15,20,25,15,25
817,0.9841201396342372,5,15,20,30,30
2574,0.9841184320072682,15,40,35,10,0
2983,0.9841164601613696,20,20,40,20,0
1742,0.9841162284008836,10,30,20,25,15
3047,0.9841124306531344,20,25,35,10,10
3309,0.9841104262216736,25,0,35,20,20
3113,0.9841072317528746,20,30,35,10,5
1663,0.9841034419735007,10,25,20,25,20
1743,0.9841000291819605,10,30,20,30,10
2569,0.9840896119771751,15,40,30,5,10
93,0.9840774215348699,0,10,20,35,35
1050,0.9840585110032268,5,30,20,35,10
2616,0.984057922559431,15,45,25,15,0
1900,0.9840462002338497,10,40,35,5,10
1834,0.9840459902991876,10,35,35,5,15
655,0.9840429372794297,5,0,35,20,40
732,0.9840418707158152,5,5,45,45,0
293,0.984034605314428,0,25,20,25,30
4442,0.9840257699458843,35,0,30,25,10
971,0.9840253742595761,5,25,20,40,10
197,0.9840068873916361,0,15,45,35,5
243,0.984001921938144,0,20,35,10,35
